anchor,positive,hard_negative
Keftra 125mg,Cefrosen 1000mg,Keftragard 250mg/125mg
Lincol CX 200mg/600mg,LIZOKEF OD,Lincotus EX Expectorant Sugar Free
Sardip S 50mg/10mg,Serzen-D,Sardine 5%
Oceft 1000mg,Tagzon 500,Ocef TM Junior 250mg/31.25mg
Ondrev 2mg Oral,Ondavec 4mg,Ondrea 500mg
Asspro S 50mg/10mg,Leafnac SR 50mg/15mg,Tolintos-D
Ric-Ceft,Ceftrilla 500,Ric-Ceft 1.5gm
Astin P 100mg/325mg,Para Ace,Dalmol D 10mg/325mg
Richnac-P,Reudol-SP,Tapenta P 50 mg/325 mg
Altracil 50mg Dry,Cefaaz 200mg,Altracef-O
Cefneva 250,Fixon 1000mg,Cefnex 2000mg
Willgo 200mg,Zerodol -CR,Willgo TH8
Romcef 250mg,Anzocef 1000mg,Romcet 10mg
Maxflam 200mg,Mefevac 200mg,Maxflam MR
Adilid 100mg,Neulide 100mg,Adilip 45
P-Norm,Onsan-MD 4,P Norm R 2mg/25mg
Glucoptic,Optipres,Glucotain M 5mg/500mg
Hifein-SP,Aceton P,Hifein 75mg
Asracef-S 375mg,Doncef SB 1000mg/500mg,Asracof D
Briscef 100mg,Fixit 200mg,Mahaflox CX
Maycef O 50mg,Fexim O 100mg,Maycet 10mg
Credflam-P,Acesac P,Credflam-T8
Dolozest P 100mg/325mg,Cottace-MR,Dolozen D 50 mg/10 mg
Ketomist 0.4%,Ketanov,Ketomed Plus
Cefmund 500mg,Ucx 1000mg,Cefmund S 250mg/125mg
Damfix 100mg,Saftim 200mg,Damfix O 200mg/200mg
Sentro 8mg,Hadon-MD4,Sentro 40mg
CP Spas-DS,Nyfen-P Forte,Setolac-P
Nimisid 100mg,Anafebrin 100mg,Nam Safe 100 mg/50 mg
Domar O 4mg,Onsurge 2mg,Domaren 10mg/150mg
Aldigesic,Blisnac SP,Zall-Pace 5mg/500mg
Domolol 0.25%,Ocupress 0.5%,Domol R 10mg/150mg
Vomiro 8mg,Onest 4mg,Rabnor O 4mg/20mg
Sympar 250mg,Amipol 125mg,Sympara T 37.5mg/325mg
Konicef 250mg,Xoneact 500mg,Konicef S 1000mg/500mg
Newpar 100mg/325mg,Ergonac P 100mg/325mg,Inflagesic
Cefochek 500mg,Dxone 250mg,Cefoclox
PA 500mg,NP.IN,Prosef
ASR P 50mg/500mg,Xaio P,Licomol Plus
Fixicure 100,Faithcef Dry,Volvefix Turbo
Escefon 200mg,Linemac 200mg,Escefon-O
Ceocef O 100mg,Cefidol 100mg,Sumcef LZ 200mg/600mg
Dalsix 100 DT,Aircef 50mg,Dalsix D 200mg/500mg
Cefzaris 100mg,Emix 100mg,Cefzaris O 200mg/200mg
Robitrax-S 375mg,Ceftrafit S 250mg/125mg,Robitrax 250mg
Femicef 1000mg,SX One 1000mg,Elores 2000mg
Zoxton 500,Dotxone 1000mg,C Pax 250mg/125mg
Seron K 50mg/10mg,Dicpar,Seronorm 50mg
Healase D 50 mg/10 mg,Fenodol-S,Ostodec
Nipodin 10mg,Genolorat 10mg,Nipod 50mg
Salmix 100mg,Bactofix 50mg Dry,Salmiride OD 200mg
Vizceft 500,Cencef 250mg,Vizceft-TZ 1125
Cefarogen 1000mg,I Tone 125mg,Cefarogen 1000mg/500mg
Cantocold Syrup Strawberry,Inqtmol-CP,Canto Pred 16mg
Losamust H 50mg/12.5mg,Losacon H 50 mg/12.5 mg,Losawell C 50mg/12.5mg
Exone S 1000mg/500mg,Nulcef SB 1000mg/500mg,Exone 1000mg
Anthacain,Lignowin 21.3mg,Exapace
Cezone 1gm,Gramocef 1000mg,Cezon-S 1.5gm
Teniva 10mg,Ten20,Teniva-M Forte
Rabiloz IT 20 mg/150 mg,Remem IT 20mg/150mg,Gitune Mps 50mg/125mg
Vomicain 4mg,Vomicare,Tufcid ON
Healzone 125mg,Ceftroxiv 250,Healzone CF 1000mg/500mg
Exipain P 100mg/325mg,Aclomed P 100mg/500mg,Exipan 40mg
Glyten,Tenepride 20,Glyten M 500mg/20mg
Cefnic 50 Dry Syrup Strawberry,Ceftec Dry,Cefnid 1000mg
Trexone 500mg,Brezone 500mg,Trexopar 15mg
Aester-MR,Blufen P,Solgesic 325mg/10mg
Stecix 100mg,SI Fixim 50mg,Stecix-CV 200mg/125mg
Lyser-AP,Emeenac-SP,Lyser D AQ
Cefolip 1000mg/500mg,Ceftrimax 500 mg/250 mg,Cefolac XL 200
Verzepam 5mg,Diazewok 5mg,Betapro DZ 2.5mg/20mg
